"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"15/09/2014","-500.00","Main d'oeuvre Electricien: Sofiane","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Electricien"
"14/09/2014","-20.00","Main d'oeuvre Saff: Azouz","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"13/09/2014","-50.00","bonus Kais","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Ouvrier"
"13/09/2014","-300.00","Main d'oeuvre plomberie: Khaled","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Plombier"
"13/09/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"12/09/2014","-1400.00","Meuble TV (avance)","","","> Actifs> Maison> Mobilier","> Actifs> Porte-monnaie","NON",""
"12/09/2014","-41.00","2xCiment + 8xsable + 1gravier + transport","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"12/09/2014","-40.00","Transport déchets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"11/09/2014","-35.00","Golf Soukra","","","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON",""
"11/09/2014","3500.00","CHQ.G.NO 05820140911RET39","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"10/09/2014","-11.00","5 interrpteurs","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","electricité"
"10/09/2014","-40.00","Menuisier","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Menuisier"
"10/09/2014","-10.00","Ciment","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"09/09/2014","-3200.00","Aluminium","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Aluminium"
"09/09/2014","-30.00","3xCiment + 3xgravier","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"09/09/2014","-250.00","Main d'oeuvre: Peintre","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Peintre"
"09/09/2014","-20.00","sable","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"08/09/2014","-20.00","briques","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"07/09/2014","-10.00","salon de the: Mosai","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"07/09/2014","-1000.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"06/09/2014","70.00","Remboursement Resto Golf(participation Hatem)","","","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON",""
"06/09/2014","-100.00","siphon simple + inox + accessoires","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"06/09/2014","-17.00","Ciment","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"06/09/2014","-45.00","Peinture","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"06/09/2014","-1634.00","Meuble + accessoires sdb","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Equipement"
"06/09/2014","1634.00","Apport moon","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
"05/09/2014","500.00","DAB CACS AB","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/09/2014","500.00","DAB CACS AB","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/09/2014","300.00","DAB CACS AB","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/09/2014","150.00","Apport moon (avance menuisier)","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
"05/09/2014","-150.00","Menuisier","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Menuisier"
"05/09/2014","-5.00","glace","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"04/09/2014","120.00","Apport moon (avance parterre)","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
"04/09/2014","300.00","Apport moon (avance peintre)","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
"04/09/2014","-55.00","Golf Soukra","","","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON",""
